country,iso3,year,polyarchy,liberal_democracy,participatory_democracy,deliberative_democracy,egalitarian_democracy,regime_type,physinteg,mil_constrain,mil_exec,exec_confidence,judicial_constraints,legislative_constraints,rule_of_law_vdem,public_sector_corruption,executive_corruption,corruption_index,clientelism,civil_society_participation,party_institutionalization,state_authority,coup_total_events,coup_event,coup_attempts,executive_direct_election,election_repression,voter_turnout,democracy_breakdown,democracy_transition,polity2,cs_repress,political_violence,mil_exp_pct_gdp,mil_exp_usd,mil_personnel,wgi_rule_of_law,wgi_govt_effectiveness,wgi_control_corruption,wgi_political_stability,gdp_const_2015_usd,gdp_per_capita_const_usd,population,inflation_consumer_prices_pct,real_interest_rate,official_exchange_rate,fdi_net_inflows_pct_gdp,debt_service_pct_exports,current_account_pct_gdp,reserves_months_imports,resource_rents_pct_gdp,trade_openness_pct_gdp,oda_received_pct_gni,m3_conscription,m3_mil_veto,m3_mil_impunity,m3_mil_crime_police,m3_mil_eco,m3_hwi,state_capacity_composite,state_capacity_coverage,time_since_last_coup,time_since_last_coup_attempt,coup_count_5y,coup_attempt_count_5y,coup_count_10y,coup_attempt_count_10y,polyarchy_delta_1y,polyarchy_delta_3y,mil_exec_delta_1y,cs_repress_delta_1y,state_capacity_delta_3y,inflation_delta_1y,trade_openness_delta_3y,oda_received_delta_3y,voter_turnout_delta_1y,regime_shift_flag,repression_shift_flag,macro_stress_shift_flag
Argentina,ARG,1960,0.49,0.356,0.312,0.428,0.37,1.0,0.675,0.996,0.3,0.667,0.64,0.636,0.672,0.281,0.262,0.242,0.354,0.788,0.692,-1.246,0,0,2,1.0,,,1,0,5,1.204,1.94,1.55,0,,,,,,150797810295.884,7397.10965495682,20386045,,,,,,,,,15.2080960873797,0.270642460038711,0,0,0,0,0,2.9,52.77,8,,,0,0,0,0,,,,,,,,,,1,0,0
Argentina,ARG,1961,0.492,0.362,0.313,0.429,0.371,1.0,0.675,0.996,0.3,0.667,0.695,0.636,0.691,0.281,0.262,0.242,0.355,0.788,0.692,-1.246,0,0,1,1.0,,,1,0,5,1.204,2.373,2.14,0,,,,,,158982878499.524,7670.59545571641,20726276,,,,,,,,,11.9898923109727,0.26528659075329,0,0,0,0,0,2.9,53.7,8,,1,0,2,0,2,0.002,,0.0,0.0,,,,,,1,0,0
Argentina,ARG,1962,0.274,0.206,0.211,0.283,0.255,1.0,0.647,0.996,0.8,0.667,0.74,0.636,0.667,0.24,0.298,0.241,0.354,0.712,0.692,-1.246,1,1,3,0.0,,,2,-1,5,1.204,2.373,2.66,305162407.203668,,,,,,157628310158.567,7480.27172420174,21072538,,,,,,,,,14.0755256495637,0.293212630488116,0,0,0,0,0,2.9,52.95,8,,1,0,3,0,3,-0.218,,0.5,0.0,,,,,,1,0,0
Argentina,ARG,1963,0.308,0.226,0.226,0.325,0.271,1.0,0.645,0.996,0.3,0.667,0.788,0.678,0.79,0.139,0.068,0.141,0.353,0.761,0.692,-1.246,0,0,1,1.0,,,2,1,6,0.284,2.373,1.68,242219771.188823,,,,,,149261089202.812,6967.75019555221,21421705,,,1.3871666666625e-11,,,,,,15.7809062353749,0.148680033519912,0,0,0,0,0,2.9,52.09,8,1,1,1,6,1,6,0.034,-0.182,-0.5,-0.92,-0.68,,0.573,-0.122,,1,0,0
Argentina,ARG,1964,0.525,0.423,0.331,0.453,0.397,2.0,0.742,0.996,0.3,0.667,0.818,0.736,0.849,0.139,0.068,0.124,0.352,0.816,0.692,-1.246,0,0,0,1.0,,,2,0,6,1.205,2.373,1.15,245740498.034076,,,,,,164381681831.918,7551.02490778789,21769453,,,1.40391666666167e-11,,,,,,11.1274296795488,-0.0201386779034425,0,0,0,0,0,2.9,54.61,8,2,1,1,7,1,7,0.217,0.033,0.0,0.921,0.91,,-0.862,-0.285,,1,1,0
Argentina,ARG,1965,0.526,0.427,0.332,0.454,0.397,2.0,0.742,0.996,0.3,0.667,0.818,0.763,0.849,0.139,0.068,0.124,0.339,0.736,0.692,-1.246,0,0,0,1.0,,,2,0,6,-0.014,2.373,1.07,252407602.894431,,,,,,181755894112.433,8219.55155637229,22112629,,,1.69566666666417e-11,,,,,,10.3764574099485,-0.196538763267846,0,0,0,0,0,2.9,53.95,8,3,2,1,7,1,7,0.001,0.252,0.0,-1.219,1.0,,-3.699,-0.49,,1,0,0
Argentina,ARG,1966,0.228,0.202,0.197,0.257,0.198,1.0,0.54,0.996,0.9,0.333,0.588,0.763,0.667,0.139,0.288,0.193,0.377,0.356,0.635,-1.246,1,1,1,0.0,,,3,-1,-9,-0.996,2.373,1.168,279225436.289744,,,,,,180556802912.311,8041.22487411475,22453893,,,2.09149999999667e-11,,,,,,11.6426054171411,-0.0311449194739381,0,0,0,0,0,2.9,46.09,8,4,3,1,5,1,7,-0.298,-0.08,0.6,-0.982,-6.0,,-4.138,-0.18,,1,0,0
Argentina,ARG,1967,0.103,0.089,0.153,0.116,0.13,0.0,0.246,0.996,0.9,0.333,0.478,,0.303,0.423,0.644,0.425,0.452,0.282,,-1.246,0,0,0,0.0,,,3,0,-9,-1.221,2.373,1.4,251930719.052261,,,,,,186320169964.576,8172.27456469042,22799059,,,3.33424999999917e-11,,,,,,12.4926603729179,0.0368875693850709,0,0,0,0,0,2.9,39.68,6,1,1,2,5,2,8,-0.125,-0.422,0.0,-0.225,-14.93,,1.365,0.057,,1,0,0
Argentina,ARG,1968,0.106,0.084,0.154,0.116,0.13,0.0,0.114,0.996,0.9,0.333,0.478,,0.303,0.423,0.644,0.425,0.452,0.282,,-1.246,0,0,0,0.0,,,3,0,-9,-1.221,2.373,1.68571428571429,337142857.142857,,,,,,195305461613.156,8436.30856351031,23150583,,,3.5e-11,,,,,,11.8881648852942,0.0104436350372748,0,0,0,0,0,2.9,39.68,6,2,2,1,2,2,8,0.003,-0.42,0.0,0.0,-14.27,,1.512,0.207,,1,0,0
Argentina,ARG,1969,0.108,0.081,0.154,0.116,0.131,0.0,0.067,0.996,0.9,0.333,0.478,,0.303,0.423,0.644,0.425,0.452,0.282,,-1.246,0,0,0,0.0,,,3,0,-9,-1.221,2.373,1.9375,442857142.857143,,,,,,214210104570.482,9111.9459748551,23508711,,,3.5e-11,,,,,,12.7974266330598,0.0566428539487241,0,0,0,0,0,2.9,39.68,6,3,3,1,1,2,8,0.002,-0.12,0.0,0.0,-6.41,,1.155,0.088,,1,0,0
