country,year,banking_crisis,currency_crisis,debt_crisis,twin_crisis,triple_crisis,all_crises,crisis_intensity_score
Argentina,1950,0,0,0,0,0,0,0.0
Argentina,1951,0,0,0,0,0,0,0.0
Argentina,1952,0,0,0,0,0,0,0.0
Argentina,1953,0,0,0,0,0,0,0.0
Argentina,1954,0,0,0,0,0,0,0.0
Argentina,1955,0,1,0,0,0,1,28.0
Argentina,1956,0,0,0,0,0,0,0.0
Argentina,1957,0,0,0,0,0,0,0.0
Argentina,1958,0,1,0,0,0,1,28.0
Argentina,1959,0,0,0,0,0,0,0.0
Argentina,1960,0,0,0,0,0,0,0.0
Argentina,1961,0,0,0,0,0,0,0.0
Argentina,1962,0,1,0,0,0,1,28.0
Argentina,1963,0,0,0,0,0,0,0.0
Argentina,1964,0,0,0,0,0,0,0.0
Argentina,1965,0,0,0,0,0,0,0.0
Argentina,1966,0,0,0,0,0,0,0.0
Argentina,1967,0,1,0,0,0,1,28.0
Argentina,1968,0,0,0,0,0,0,0.0
Argentina,1969,0,0,0,0,0,0,0.0
Argentina,1970,0,0,0,0,0,0,0.0
Argentina,1971,0,0,0,0,0,0,0.0
Argentina,1972,0,0,0,0,0,0,0.0
Argentina,1973,0,0,0,0,0,0,0.0
Argentina,1974,0,0,0,0,0,0,0.0
Argentina,1975,0,1,0,0,0,1,28.0
Argentina,1976,0,0,0,0,0,0,0.0
Argentina,1977,0,0,0,0,0,0,0.0
Argentina,1978,0,0,0,0,0,0,0.0
Argentina,1979,0,0,0,0,0,0,0.0
Argentina,1980,1,0,0,0,1,1,56.0
Argentina,1981,1,1,0,0,1,1,84.0
Argentina,1982,1,1,1,0,1,1,112.0
Argentina,1983,0,0,1,0,0,1,28.0
Argentina,1984,0,1,1,0,0,1,56.0
Argentina,1985,0,0,1,0,0,1,28.0
Argentina,1986,0,0,1,0,0,1,28.0
Argentina,1987,0,1,1,0,0,1,56.0
Argentina,1988,0,1,1,0,0,1,56.0
Argentina,1989,1,1,1,0,0,1,80.0
Argentina,1990,1,0,1,0,0,1,52.0
Argentina,1991,1,0,1,0,0,1,52.0
Argentina,1992,0,0,1,0,0,1,28.0
Argentina,1993,0,0,1,0,0,1,28.0
Argentina,1994,0,0,0,0,0,0,0.0
Argentina,1995,1,0,0,0,0,1,24.0
Argentina,1996,0,0,0,0,0,0,0.0
Argentina,1997,0,0,0,0,0,0,0.0
Argentina,1998,0,0,0,0,0,0,0.0
Argentina,1999,0,0,0,0,0,0,0.0
Argentina,2000,0,0,0,0,0,0,0.0
Argentina,2001,1,0,1,0,1,1,84.0
Argentina,2002,1,1,1,0,1,1,112.0
Argentina,2003,1,0,1,0,0,1,52.0
Argentina,2004,0,0,1,0,0,1,28.0
Argentina,2005,0,0,1,0,0,1,28.0
Argentina,2006,0,0,1,0,0,1,28.0
Argentina,2007,0,0,1,0,0,1,28.0
Argentina,2008,0,0,1,0,0,1,28.0
Argentina,2009,0,0,1,0,0,1,28.0
Argentina,2010,0,0,1,0,0,1,28.0
Argentina,2011,0,0,1,0,0,1,28.0
Argentina,2012,0,0,1,0,0,1,28.0
Argentina,2013,0,1,1,0,0,1,56.0
Argentina,2014,0,1,1,0,0,1,56.0
Argentina,2015,0,1,1,0,0,1,56.0
Argentina,2016,0,1,1,0,0,1,56.0
Argentina,2017,0,0,0,0,0,0,0.0
Argentina,2018,0,1,0,0,0,1,28.0
Argentina,2019,0,0,0,0,0,0,0.0
Belize,1950,0,0,0,0,0,0,0.0
Belize,1951,0,0,0,0,0,0,0.0
Belize,1952,0,0,0,0,0,0,0.0
Belize,1953,0,0,0,0,0,0,0.0
Belize,1954,0,0,0,0,0,0,0.0
Belize,1955,0,0,0,0,0,0,0.0
Belize,1956,0,0,0,0,0,0,0.0
Belize,1957,0,0,0,0,0,0,0.0
Belize,1958,0,0,0,0,0,0,0.0
Belize,1959,0,0,0,0,0,0,0.0
Belize,1960,0,0,0,0,0,0,0.0
Belize,1961,0,0,0,0,0,0,0.0
Belize,1962,0,0,0,0,0,0,0.0
Belize,1963,0,0,0,0,0,0,0.0
Belize,1964,0,0,0,0,0,0,0.0
Belize,1965,0,0,0,0,0,0,0.0
Belize,1966,0,0,0,0,0,0,0.0
Belize,1967,0,0,0,0,0,0,0.0
Belize,1968,0,0,0,0,0,0,0.0
