country,year,economic,military,total
Argentina,1946,10761.72,0.0,10761.72
Argentina,1947,9703.19,0.0,9703.19
Argentina,1948,8862.1,0.0,8862.1
Argentina,1955,17571875.0,0.0,17571875.0
Argentina,1956,119162913.91,0.0,119162913.91
Argentina,1958,697210.17,0.0,697210.17
Argentina,1959,173015384.62,0.0,173015384.62
Argentina,1960,5416496.09,1861920.53,7278416.62
Argentina,1961,46106595.37,26093660.13,72200255.5
Argentina,1962,178612941.18,192538135.29,371151076.47
Argentina,1963,848026860.47,9526408.14,857553268.6
Argentina,1964,61975660.16,65061531.57,127037191.73
Argentina,1965,33636455.98,104958435.67,138594891.65
Argentina,1966,41628839.78,170448352.49,212077192.27
Argentina,1967,9648042.9,95594015.01,105242057.91
Argentina,1968,16315440.41,66619439.38,82934879.79
Argentina,1969,10588404.36,65018375.62,75606779.98
Argentina,1970,5289746.0,3126239.89,8415985.89
Argentina,1971,2517009.85,82452208.59,84969218.44
Argentina,1972,0.0,99032083.76,99032083.76
Argentina,1973,0.0,55018821.46,55018821.46
Argentina,1974,4298.93,98570158.26,98574457.19
Argentina,1975,389674.29,117291961.19,117681635.48
Argentina,1976,3643.02,125611573.94,125615216.96
Argentina,1977,380529.31,2449657.4,2830186.71
Argentina,1979,200295.44,0.0,200295.44
Argentina,1982,138383.92,0.0,138383.92
Argentina,1983,99443.9,0.0,99443.9
Argentina,1984,270962.25,0.0,270962.25
Argentina,1986,10096.97,0.0,10096.97
Argentina,1987,4740147.52,0.0,4740147.52
Argentina,1988,688764.89,63136.78,751901.67
Argentina,1989,1704552.32,268462.39,1973014.72
Argentina,1990,2748529.5,260751.1,3009280.6
Argentina,1991,3809920.77,6885306.12,10695226.89
Argentina,1992,4132445.47,11165790.79,15298236.26
Argentina,1993,7380763.84,26216879.94,33597643.78
Argentina,1994,5703126.55,1991938.56,7695065.11
Argentina,1995,1151854.5,8914222.94,10066077.44
Argentina,1996,569748.19,25595883.71,26165631.9
Argentina,1997,1247743.17,3363098.72,4610841.89
Argentina,1998,4090429.22,8422221.2,12512650.42
Argentina,1999,870678.47,12276013.24,13146691.71
Argentina,2000,1499507.04,8417429.15,9916936.19
Argentina,2001,2932279.0,2970668.09,5902947.08
Argentina,2002,487901.28,3867892.01,4355793.29
Argentina,2003,892616.53,6292858.6,7185475.13
Argentina,2004,2482216.11,1747132.18,4229348.29
Argentina,2005,1197342.18,1670900.64,2868242.82
Argentina,2006,2561038.64,1592818.68,4153857.32
Argentina,2007,9625724.11,1667426.41,11293150.51
Argentina,2008,3499123.92,1584766.62,5083890.54
Argentina,2009,3267962.07,1600845.7,4868807.77
Argentina,2010,6734875.2,1733300.56,8468175.76
Argentina,2011,20066800.4,791826.57,20858626.97
Argentina,2012,6185867.12,1094901.56,7280768.68
Argentina,2013,1949324.75,546619.21,2495943.95
Argentina,2014,2328958.07,378116.96,2707075.03
Argentina,2015,1633978.34,359872.0,1993850.34
Argentina,2016,2188590.49,409104.7,2597695.19
Argentina,2017,4950634.45,554410.8,5505045.24
Argentina,2018,4329797.06,951422.41,5281219.47
Argentina,2019,13341057.67,4229633.53,17570691.2
Bolivia,1946,4304689.0,0.0,4304689.0
Bolivia,1947,3881276.96,0.0,3881276.96
Bolivia,1948,3544838.46,0.0,3544838.46
Bolivia,1949,3428658.54,0.0,3428658.54
Bolivia,1950,4345440.49,0.0,4345440.49
Bolivia,1951,4125458.55,0.0,4125458.55
Bolivia,1952,11904263.75,0.0,11904263.75
Bolivia,1953,10124515.24,0.0,10124515.24
Bolivia,1954,121619986.31,0.0,121619986.31
Bolivia,1955,206278532.61,0.0,206278532.61
Bolivia,1956,209279867.55,0.0,209279867.55
Bolivia,1957,196050957.85,0.0,196050957.85
Bolivia,1958,156175077.5,599600.74,156774678.24
Bolivia,1959,170955677.66,2334334.55,173290012.21
Bolivia,1960,101559301.63,2186910.3,103746211.92
Bolivia,1961,205140938.8,11707065.95,216848004.75
Bolivia,1962,242119764.71,15850244.71,257970009.41
Bolivia,1963,411917441.86,32443402.33,444360844.19
Bolivia,1964,498387600.46,18399024.11,516786624.57
Bolivia,1965,119314221.22,15847213.32,135161434.54
Bolivia,1966,231760798.9,17776135.91,249536934.81
Bolivia,1967,115776514.75,22431699.73,138208214.48
Bolivia,1968,108381139.9,14252702.59,122633842.49
Bolivia,1969,119821727.45,10867046.58,130688774.03
Bolivia,1970,42317968.02,7871142.05,50189110.07
Bolivia,1971,58898030.44,12625321.4,71523351.84
Bolivia,1972,288363780.34,28936823.08,317300603.42
Bolivia,1973,125723095.82,22072923.01,147796018.84
Bolivia,1974,202483886.09,34000234.71,236484120.8
Bolivia,1975,100535966.74,28118896.74,128654863.48
Bolivia,1976,118060726.03,85719139.94,203779865.97
Bolivia,1977,154753114.2,9023980.66,163777094.86
Bolivia,1978,169240681.57,2428728.56,171669410.13
Bolivia,1979,150448387.11,18869008.91,169317396.02
Bolivia,1980,81515212.72,555391.47,82070604.19
Bolivia,1981,31429104.19,0.0,31429104.19
Bolivia,1982,45466037.33,0.0,45466037.33
Bolivia,1983,139232507.37,0.0,139232507.37
Bolivia,1984,166488165.05,266695.12,166754860.18
Bolivia,1985,104492620.89,6914421.52,111407042.41
Bolivia,1986,150709324.12,282715.03,150992039.15
Bolivia,1987,154056769.58,363411.31,154420180.89
Bolivia,1988,175371019.39,719376.66,176090396.05
Bolivia,1989,147703963.7,1425057.23,149129020.93
Bolivia,1990,193605034.07,82931267.82,276536301.89
Bolivia,1991,265880728.94,61464202.86,327344931.8
Bolivia,1992,284968961.13,46524685.29,331493646.42
Bolivia,1993,217688149.33,37468707.03,255156856.36
Bolivia,1994,144624710.49,12207600.11,156832310.6
Bolivia,1995,102420477.7,5628432.12,108048909.83
Bolivia,1996,133198834.14,846943.74,134045777.88
Bolivia,1997,199947633.06,7122114.58,207069747.65
Bolivia,1998,164104401.03,14511304.27,178615705.29
Bolivia,1999,198198334.23,7233202.66,205431536.89
Bolivia,2000,335471421.15,12152586.2,347624007.35
Bolivia,2001,275629815.13,9495151.05,285124966.18
Bolivia,2002,264653905.87,8560657.05,273214562.92
Bolivia,2003,298829658.96,9730649.15,308560308.12
Bolivia,2004,176601967.91,12333636.32,188935604.23
Bolivia,2005,163099948.74,7230677.37,170330626.12
Bolivia,2006,225284421.92,4928486.05,230212907.97
Bolivia,2007,168050738.71,2429330.74,170480069.45
Bolivia,2008,155982997.98,1895996.18,157878994.17
Bolivia,2009,97118597.11,732050.94,97850648.05
Bolivia,2010,106162204.61,1012163.38,107174367.98
Bolivia,2011,99462779.32,320855.92,99783635.24
Bolivia,2012,45563839.86,257533.4,45821373.26
Bolivia,2013,3093198.31,197209.17,3290407.48
Bolivia,2014,7973981.21,0.0,7973981.21
Bolivia,2015,60032067.02,0.0,60032067.02
Bolivia,2016,1582421.76,0.0,1582421.76
Bolivia,2017,2404971.19,0.0,2404971.19
Bolivia,2018,1897079.3,0.0,1897079.3
Bolivia,2019,3174727.59,0.0,3174727.59
Brazil,1946,185101626.79,0.0,185101626.79
Brazil,1947,12614150.13,0.0,12614150.13
Brazil,1948,12406934.59,0.0,12406934.59
Brazil,1949,6857317.07,0.0,6857317.07
Brazil,1950,6952704.79,0.0,6952704.79
Brazil,1951,9901100.51,0.0,9901100.51
Brazil,1952,20620310.3,213340902.68,233961212.98
Brazil,1953,141743213.3,499216481.99,640959695.29
Brazil,1954,20013415.47,88520876.11,108534291.58
Brazil,1955,44311684.78,58827581.52,103139266.3
Brazil,1956,295672980.13,63260611.92,358933592.05
Brazil,1957,871098212.01,187462058.75,1058560270.75
Brazil,1958,63446125.23,47647342.84,111093468.07
Brazil,1959,81708575.09,150145771.67,231854346.76
Brazil,1960,90733080.07,225333007.83,316066087.9
Brazil,1961,616091027.93,178813404.63,794904432.56
Brazil,1962,1360104470.59,260477205.88,1620581676.47
Brazil,1963,923871976.74,53817340.7,977689317.44
