country,year,polyarchy,liberal_democracy,participatory_democracy,deliberative_democracy,egalitarian_democracy,regime_type,physinteg,mil_constrain,mil_exec,exec_confidence,judicial_constraints,legislative_constraints,rule_of_law_vdem,public_sector_corruption,executive_corruption,corruption_index,clientelism,civil_society_participation,party_institutionalization,state_authority,coup_total_events,coup_event,coup_attempts,executive_direct_election,election_repression,voter_turnout,democracy_breakdown,democracy_transition,polity2,cs_repress,political_violence
Argentina,1960,0.49,0.356,0.312,0.428,0.37,1.0,0.675,0.996,0.3,0.667,0.64,0.636,0.672,0.281,0.262,0.242,0.354,0.788,0.692,-1.246,0,0,2,1.0,,,1,0,5,1.204,1.94
Argentina,1961,0.492,0.362,0.313,0.429,0.371,1.0,0.675,0.996,0.3,0.667,0.695,0.636,0.691,0.281,0.262,0.242,0.355,0.788,0.692,-1.246,0,0,1,1.0,,,1,0,5,1.204,2.373
Argentina,1962,0.274,0.206,0.211,0.283,0.255,1.0,0.647,0.996,0.8,0.667,0.74,0.636,0.667,0.24,0.298,0.241,0.354,0.712,0.692,-1.246,1,1,3,0.0,,,2,-1,5,1.204,2.373
Argentina,1963,0.308,0.226,0.226,0.325,0.271,1.0,0.645,0.996,0.3,0.667,0.788,0.678,0.79,0.139,0.068,0.141,0.353,0.761,0.692,-1.246,0,0,1,1.0,,,2,1,6,0.284,2.373
Argentina,1964,0.525,0.423,0.331,0.453,0.397,2.0,0.742,0.996,0.3,0.667,0.818,0.736,0.849,0.139,0.068,0.124,0.352,0.816,0.692,-1.246,0,0,0,1.0,,,2,0,6,1.205,2.373
Argentina,1965,0.526,0.427,0.332,0.454,0.397,2.0,0.742,0.996,0.3,0.667,0.818,0.763,0.849,0.139,0.068,0.124,0.339,0.736,0.692,-1.246,0,0,0,1.0,,,2,0,6,-0.014,2.373
Argentina,1966,0.228,0.202,0.197,0.257,0.198,1.0,0.54,0.996,0.9,0.333,0.588,0.763,0.667,0.139,0.288,0.193,0.377,0.356,0.635,-1.246,1,1,1,0.0,,,3,-1,-9,-0.996,2.373
Argentina,1967,0.103,0.089,0.153,0.116,0.13,0.0,0.246,0.996,0.9,0.333,0.478,,0.303,0.423,0.644,0.425,0.452,0.282,,-1.246,0,0,0,0.0,,,3,0,-9,-1.221,2.373
Argentina,1968,0.106,0.084,0.154,0.116,0.13,0.0,0.114,0.996,0.9,0.333,0.478,,0.303,0.423,0.644,0.425,0.452,0.282,,-1.246,0,0,0,0.0,,,3,0,-9,-1.221,2.373
Argentina,1969,0.108,0.081,0.154,0.116,0.131,0.0,0.067,0.996,0.9,0.333,0.478,,0.303,0.423,0.644,0.425,0.452,0.282,,-1.246,0,0,0,0.0,,,3,0,-9,-1.221,2.373
Argentina,1970,0.109,0.092,0.155,0.117,0.14,0.0,0.098,0.996,0.9,0.333,0.53,,0.361,0.423,0.604,0.413,0.481,0.282,,-1.246,1,1,1,0.0,,,3,0,-9,-1.221,2.373
Argentina,1971,0.121,0.094,0.157,0.119,0.142,0.0,0.098,0.996,0.9,0.333,0.53,,0.361,0.423,0.604,0.413,0.481,0.282,,-1.246,1,1,2,0.0,,,3,0,-9,-1.221,2.373
Argentina,1972,0.13,0.095,0.16,0.121,0.144,0.0,0.098,0.996,0.9,0.333,0.53,,0.361,0.423,0.604,0.413,0.481,0.282,,-1.246,0,0,0,0.0,,,3,0,-9,-1.221,2.373
Argentina,1973,0.456,0.278,0.303,0.315,0.296,1.0,0.128,0.996,0.3,0.667,0.595,0.512,0.386,0.532,0.706,0.414,0.255,0.58,0.748,-0.036,0,0,0,1.0,,,3,1,6,0.399,2.373
Argentina,1974,0.565,0.326,0.361,0.368,0.393,2.0,0.088,0.996,0.2,0.667,0.549,0.529,0.356,0.532,0.749,0.424,0.252,0.685,0.748,-0.036,0,0,0,1.0,,,3,0,6,0.149,2.373
Argentina,1975,0.513,0.295,0.333,0.32,0.349,2.0,0.036,0.996,0.3,0.667,0.549,0.529,0.356,0.532,0.749,0.424,0.252,0.577,0.748,-0.036,0,0,2,1.0,,,3,0,6,-1.35,2.373
Argentina,1976,0.134,0.068,0.127,0.067,0.136,1.0,0.024,0.996,0.9,0.667,0.348,0.529,0.14,0.532,0.814,0.437,0.31,0.117,0.73,-1.109,1,1,1,0.0,,,4,-1,-9,-2.732,2.537
Argentina,1977,0.071,0.049,0.112,0.05,0.117,0.0,0.024,0.996,0.9,0.333,0.39,,0.136,0.532,0.814,0.515,0.31,0.033,,-1.109,0,0,0,0.0,,,4,0,-9,-2.732,2.537
Argentina,1978,0.071,0.049,0.112,0.05,0.117,0.0,0.024,0.996,0.9,0.333,0.39,,0.136,0.532,0.814,0.515,0.31,0.033,,-1.109,0,0,0,0.0,,,4,0,-9,-2.732,2.537
Argentina,1979,0.071,0.049,0.112,0.05,0.117,0.0,0.024,0.996,0.9,0.333,0.39,,0.136,0.532,0.814,0.515,0.31,0.033,,-1.109,0,0,0,0.0,,,4,0,-9,-2.732,2.537
Argentina,1980,0.071,0.05,0.112,0.05,0.117,0.0,0.024,0.996,0.9,0.333,0.396,,0.141,0.532,0.814,0.515,0.31,0.033,,-1.109,0,0,0,0.0,,,4,0,-9,-2.732,1.296
Argentina,1981,0.071,0.05,0.112,0.05,0.117,0.0,0.024,0.996,0.9,0.333,0.396,,0.141,0.532,0.814,0.515,0.31,0.033,,-1.109,1,0,0,0.0,,,4,0,-8,-2.732,0.948
Argentina,1982,0.074,0.051,0.112,0.051,0.117,0.0,0.024,0.996,0.9,0.333,0.396,,0.141,0.532,0.814,0.515,0.31,0.099,,-1.109,0,0,0,0.0,,,4,0,-8,-1.962,0.948
Argentina,1983,0.268,0.21,0.172,0.248,0.195,1.0,0.257,0.996,0.3,0.333,0.608,0.631,0.515,0.217,0.187,0.248,0.197,0.262,0.769,-1.109,0,0,0,1.0,,,4,1,8,-1.912,0.922
Argentina,1984,0.832,0.677,0.587,0.775,0.689,2.0,0.945,0.996,0.1,0.333,0.769,0.698,0.831,0.217,0.126,0.327,0.201,0.939,0.837,-1.109,0,0,0,1.0,,,4,0,8,2.464,-1.248
Argentina,1985,0.832,0.677,0.565,0.77,0.688,2.0,0.945,0.996,0.1,0.333,0.769,0.698,0.831,0.217,0.126,0.327,0.206,0.939,0.837,-1.109,0,0,0,1.0,,,4,0,8,2.464,-1.248
Argentina,1986,0.831,0.675,0.563,0.775,0.687,2.0,0.945,0.996,0.1,0.333,0.769,0.698,0.831,0.217,0.126,0.327,0.234,0.939,0.837,-1.109,0,0,0,1.0,,,4,0,8,2.464,-1.248
Argentina,1987,0.831,0.675,0.566,0.773,0.687,2.0,0.945,0.996,0.1,0.333,0.769,0.698,0.831,0.217,0.126,0.327,0.284,0.939,0.756,-1.109,0,0,0,1.0,,,4,0,8,2.464,-1.248
