country_name,ccode,country_text_id,e_regionpol_6C,year,e_gdppc,e_polity2,e_pt_coup,e_pt_coup_attempts,v2regendtype,v2csreprss,v2caviol,v2x_regime,v2x_clphy,v2cagenmob,v2x_polyarchy,v2stcritapparm,v2x_ex_confidence,v2x_ex_direlect,v2x_ex_military,v2x_ex_party
Mexico,70,MEX,2,1990,24.396,0,0,0,9,-0.662,-0.295,1,0.469,0.308,0.389,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,1991,25.077,0,0,0,9,-0.662,-0.295,1,0.498,0.686,0.412,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,1992,25.561,0,0,0,9,-0.662,-0.295,1,0.498,0.969,0.437,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,1993,25.967,0,0,0,9,-0.662,-0.295,1,0.498,0.969,0.447,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,1994,26.101,4,0,0,9,-0.416,0.286,1,0.498,1.578,0.47,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,1995,25.434,4,0,0,9,-0.416,0.01,1,0.545,0.646,0.48,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,1996,25.851,4,0,0,9,-0.416,-0.194,2,0.545,0.646,0.508,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,1997,26.804,6,0,0,9,-0.29,-0.194,2,0.545,0.951,0.556,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,1998,27.712,6,0,0,9,1.008,-0.309,2,0.545,0.639,0.598,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,1999,28.538,6,0,0,9,1.008,-0.309,2,0.545,0.639,0.602,1.199,0,1,0.071,0.143
Mexico,70,MEX,2,2000,29.475,8,0,0,13,1.697,-0.072,2,0.574,1.264,0.664,1.086,0,1,0,0
Mexico,70,MEX,2,2001,29.721,8,0,0,13,1.697,0.265,2,0.556,0.952,0.677,1.086,0,1,0,0
Mexico,70,MEX,2,2002,29.761,8,0,0,13,1.697,0.265,2,0.556,0.952,0.688,1.086,0,1,0,0
Mexico,70,MEX,2,2003,29.941,8,0,0,13,1.697,0.265,2,0.556,0.952,0.699,1.086,0,1,0,0
Mexico,70,MEX,2,2004,30.521,8,0,0,13,1.697,0.265,2,0.556,1.156,0.71,1.086,0,1,0,0
Mexico,70,MEX,2,2005,31.174,8,0,0,13,1.697,0.265,2,0.556,1.156,0.71,1.086,0,1,0.059,0
Mexico,70,MEX,2,2006,31.873,8,0,0,13,1.457,0.646,2,0.487,1.753,0.671,1.086,0,1,0.088,0.029
Mexico,70,MEX,2,2007,32.268,8,0,0,13,1.475,0.364,2,0.528,0.96,0.637,1.086,0,1,0.088,0
Mexico,70,MEX,2,2008,32.279,8,0,0,13,1.475,0.66,2,0.528,0.83,0.642,1.086,0,1,0.088,0
Mexico,70,MEX,2,2009,31.734,8,0,0,13,1.475,0.399,2,0.528,0.951,0.648,1.086,0,1,0.088,0
Mexico,70,MEX,2,2010,32.25,8,0,0,13,1.414,0.628,2,0.499,0.783,0.661,1.086,0,1,0.088,0
Mexico,70,MEX,2,2011,32.958,8,0,0,13,1.414,0.536,2,0.499,1.324,0.66,1.086,0,1,0.088,0
Mexico,70,MEX,2,2012,33.482,8,0,0,13,1.475,0.822,2,0.502,1.552,0.649,1.086,0,1,0.088,0
Mexico,70,MEX,2,2013,33.742,8,0,0,13,1.369,0.521,2,0.505,1.303,0.623,1.086,0,1,0.1,0
Mexico,70,MEX,2,2014,33.886,8,0,0,13,1.369,0.821,2,0.484,1.283,0.62,1.086,0,1,0.1,0
Mexico,70,MEX,2,2015,33.828,8,0,0,13,1.369,0.821,2,0.518,1.216,0.639,1.086,0,1,0.115,0
Mexico,70,MEX,2,2016,34.098,8,0,0,13,1.369,0.521,2,0.518,0.584,0.64,1.086,0,1,0.115,0
Mexico,70,MEX,2,2017,34.425,8,0,0,13,1.249,0.83,2,0.518,0.759,0.635,1.086,0,1,0.077,0
Mexico,70,MEX,2,2018,34.575,8,0,0,13,1.399,0.525,2,0.518,0.405,0.675,1.086,0,1,0.125,0
Mexico,70,MEX,2,2019,34.308,NA,0,0,13,1.311,0.78,2,0.499,0.839,0.685,1.086,0,1,0.182,0
Mexico,70,MEX,2,2020,NA,NA,0,0,13,1.016,0.658,2,0.499,0.056,0.663,1.086,0,1,0.136,0
Mexico,70,MEX,2,2021,NA,NA,0,0,13,0.743,1.189,2,0.513,-0.433,0.618,1.086,0,1,0.091,0.045
Mexico,70,MEX,2,2022,NA,NA,0,0,13,0.721,1.409,2,0.513,0.226,0.586,1.086,0,1,0.1,0
Mexico,70,MEX,2,2023,NA,NA,0,0,13,0.721,0.999,2,0.513,0.537,0.549,1.086,0,1,0.1,0
Mexico,70,MEX,2,2024,NA,NA,0,0,NA,0.362,1.479,2,0.417,0.12,0.505,1.086,0,1,0.111,0.167
Suriname,115,SUR,2,1990,17.115,2,0,0,9,2.52,-1.11,2,0.836,-0.909,0.731,-0.899,1,0,0.6,0
Suriname,115,SUR,2,1991,16.97,5,0,0,13,2.52,-1.11,1,0.872,-0.909,0.451,-0.899,1,0,0.1,0
Suriname,115,SUR,2,1992,16.687,5,0,0,13,2.52,-1.11,2,0.872,-0.909,0.755,-0.899,1,0,0.1,0
Suriname,115,SUR,2,1993,16.305,5,0,0,13,2.52,-1.271,2,0.872,-0.991,0.757,-0.899,1,0,0.1,0
Suriname,115,SUR,2,1994,16.26,5,0,0,13,2.52,-1.271,2,0.872,-0.991,0.757,-0.899,1,0,0.1,0
Suriname,115,SUR,2,1995,16.282,5,0,0,13,2.52,-1.271,2,0.872,-0.991,0.757,-0.899,1,0,0.1,0
Suriname,115,SUR,2,1996,16.474,5,0,0,13,2.52,-1.271,2,0.872,-0.991,0.768,-0.899,1,0,0.1,0
Suriname,115,SUR,2,1997,16.782,5,0,0,13,2.52,-1.271,2,0.872,-0.991,0.773,-0.899,1,0,0.1,0
Suriname,115,SUR,2,1998,16.951,5,0,0,13,2.52,-1.524,2,0.872,0.06,0.773,-0.899,1,0,0.1,0
Suriname,115,SUR,2,1999,16.985,5,0,0,13,2.52,-1.524,2,0.872,-1.029,0.773,-0.899,1,0,0.1,0
Suriname,115,SUR,2,2000,17.241,5,0,0,13,2.52,-1.524,2,0.872,-0.516,0.784,-0.899,1,0,0.1,0
Suriname,115,SUR,2,2001,17.681,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.779,-0.899,1,0,0.1,0
Suriname,115,SUR,2,2002,18.315,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.779,-0.899,1,0,0.1,0
Suriname,115,SUR,2,2003,19.208,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.779,-0.899,1,0,0.1,0
Suriname,115,SUR,2,2004,20.219,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.779,-0.899,1,0,0.1,0
Suriname,115,SUR,2,2005,21.232,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.776,-0.899,1,0,0.167,0
Suriname,115,SUR,2,2006,22.316,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.774,-0.899,1,0,0.167,0
Suriname,115,SUR,2,2007,23.36,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.771,-0.899,1,0,0.167,0
Suriname,115,SUR,2,2008,24.382,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.772,-0.899,1,0,0.167,0
Suriname,115,SUR,2,2009,25.37,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.772,-0.899,1,0,0.167,0
Suriname,115,SUR,2,2010,26.29,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.762,-0.899,1,0,0.167,0
Suriname,115,SUR,2,2011,27.162,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.753,-0.899,1,0,0.167,0
Suriname,115,SUR,2,2012,27.728,5,0,0,13,2.52,-1.524,2,0.872,-1.003,0.753,-0.899,1,0,0.167,0
Suriname,115,SUR,2,2013,27.862,5,0,0,13,2.711,-1.524,2,0.851,-1.003,0.755,-0.899,0,0,0.4,0
Suriname,115,SUR,2,2014,27.354,5,0,0,13,2.711,-1.524,2,0.851,-1.003,0.755,-0.899,0,0,0.4,0
Suriname,115,SUR,2,2015,26.177,5,0,0,13,2.711,-1.524,2,0.851,-1.003,0.762,-0.899,0,0,0.4,0
Suriname,115,SUR,2,2016,25.172,5,0,0,13,2.444,-1.524,2,0.837,-1.003,0.767,-0.899,0.333,0,0.25,0
Suriname,115,SUR,2,2017,24.808,5,0,0,13,1.89,-1.524,2,0.837,-1.003,0.757,-0.899,0.333,0,0.25,0
Suriname,115,SUR,2,2018,24.698,5,0,0,13,1.89,-1.524,2,0.848,-1.003,0.76,-0.899,0.333,0,0.25,0
Suriname,115,SUR,2,2019,24.668,NA,0,0,13,1.89,-1.524,2,0.845,-1.003,0.756,-0.176,0.333,0,0.167,0
Suriname,115,SUR,2,2020,NA,NA,0,0,13,1.89,-2.211,2,0.878,-1.003,0.76,-0.514,0.333,0,0.167,0
Suriname,115,SUR,2,2021,NA,NA,0,0,13,2.637,-0.744,2,0.911,-0.143,0.764,-0.921,0.333,0,0.167,0
Suriname,115,SUR,2,2022,NA,NA,0,0,13,2.637,-1.841,2,0.895,-0.035,0.78,0.263,0.333,0,0.167,0.167
Suriname,115,SUR,2,2023,NA,NA,0,0,13,1.435,-0.126,3,0.921,1.115,0.768,-0.215,0,0,0,0.167
Suriname,115,SUR,2,2024,NA,NA,0,0,NA,1.435,-0.42,2,0.921,1.513,0.768,0.1,0,0,0.167,0.167
Colombia,100,COL,2,1990,17.751,8,0,0,10,-0.453,3.27,1,0.409,1.29,0.472,-0.286,0.333,1,0,0
Colombia,100,COL,2,1991,17.982,9,0,0,13,-0.453,3.055,2,0.417,0.468,0.513,-0.286,0.333,1,0,0
Colombia,100,COL,2,1992,18.403,9,0,0,13,-0.018,3.309,2,0.417,0.468,0.557,0.467,0.333,1,0,0
